task_name,from_pretrained,model_cfg,model_cls,model_type,lr,batch_size,HVD_SIZE,lr_scheduler,input_seq_len,max_n_segments,input_size,num_mem_tokens,model_path,num_steps,best_valid_exact_match,best_valid_loss
contract_nli,gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,8,4,linear,256,1,256,,../runs/contract_nli/gpt2/lr5e-05_linear_adamw_wd1e-03_256-256-1x256_memNA_bs128_iters5000_regular/run_1,5000,0.0,2.0296218395233154
contract_nli,gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,8,4,linear,256,1,256,,../runs/contract_nli/gpt2/lr5e-05_linear_adamw_wd1e-03_256-256-1x256_memNA_bs128_iters5000_regular/run_1,5000,0.0,2.0216355323791504
contract_nli,gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,8,4,linear,256,1,256,,../runs/contract_nli/gpt2/lr5e-05_linear_adamw_wd1e-03_256-256-1x256_memNA_bs128_iters5000_regular/run_1,5000,0.0,2.027541160583496
contract_nli,gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,8,4,linear,256,1,256,,../runs/contract_nli/gpt2/lr5e-05_linear_adamw_wd1e-03_256-256-1x256_memNA_bs128_iters5000_regular/run_1,5000,0.0,2.028642177581787
contract_nli,gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,8,4,linear,256,1,256,,../runs/contract_nli/gpt2/lr5e-05_linear_adamw_wd1e-03_256-256-1x256_memNA_bs128_iters5000_regular/run_1,5000,0.0,2.017116069793701
contract_nli,gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,8,4,linear,256,1,256,,../runs/contract_nli/gpt2/lr5e-05_linear_adamw_wd1e-03_256-256-1x256_memNA_bs128_iters5000_regular/run_1,5000,0.0,2.039777994155884
contract_nli,gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,8,4,linear,256,1,256,,../runs/contract_nli/gpt2/lr5e-05_linear_adamw_wd1e-03_256-256-1x256_memNA_bs128_iters5000_regular/run_1,5000,0.0,2.032233476638794
contract_nli,gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,8,4,linear,256,1,256,,../runs/contract_nli/gpt2/lr5e-05_linear_adamw_wd1e-03_256-256-1x256_memNA_bs128_iters5000_regular/run_1,5000,0.0,2.030061721801758
contract_nli,gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,8,4,linear,256,1,256,,../runs/contract_nli/gpt2/lr5e-05_linear_adamw_wd1e-03_256-256-1x256_memNA_bs128_iters5000_regular/run_1,5000,0.0,2.029484987258911
contract_nli,gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,8,4,linear,256,1,256,,../runs/contract_nli/gpt2/lr5e-05_linear_adamw_wd1e-03_256-256-1x256_memNA_bs128_iters5000_regular/run_1,5000,0.0,2.0294182300567627
contract_nli,gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,8,4,linear,256,1,256,,../runs/contract_nli/gpt2/lr5e-05_linear_adamw_wd1e-03_256-256-1x256_memNA_bs128_iters5000_regular/run_1,5000,0.0,2.028123617172241
contract_nli,gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,8,4,linear,256,1,256,,../runs/contract_nli/gpt2/lr5e-05_linear_adamw_wd1e-03_256-256-1x256_memNA_bs128_iters5000_regular/run_1,5000,0.0,2.0285723209381104
contract_nli,gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,8,4,linear,256,1,256,,../runs/contract_nli/gpt2/lr5e-05_linear_adamw_wd1e-03_256-256-1x256_memNA_bs128_iters5000_regular/run_1,2450,0.0,2.030919313430786
contract_nli,gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,8,4,linear,256,1,256,,../runs/contract_nli/gpt2/lr5e-05_linear_adamw_wd1e-03_256-256-1x256_memNA_bs128_iters5000_regular/run_1,5000,0.0,2.0274789333343506
contract_nli,gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,8,4,linear,256,1,256,,../runs/contract_nli/gpt2/lr5e-05_linear_adamw_wd1e-03_256-256-1x256_memNA_bs128_iters5000_regular/run_1,5000,0.0,2.0318374633789062
contract_nli,gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,8,4,linear,256,1,256,,../runs/contract_nli/gpt2/lr5e-05_linear_adamw_wd1e-03_256-256-1x256_memNA_bs128_iters5000_regular/run_1,5000,0.0,2.0277163982391357
contract_nli,gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,8,4,linear,256,1,256,,../runs/contract_nli/gpt2/lr5e-05_linear_adamw_wd1e-03_256-256-1x256_memNA_bs128_iters5000_regular/run_1,5000,0.0,2.0244016647338867
contract_nli,gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,8,4,linear,256,1,256,,../runs/contract_nli/gpt2/lr5e-05_linear_adamw_wd1e-03_256-256-1x256_memNA_bs128_iters5000_regular/run_1,5000,0.0,2.0310275554656982
contract_nli,gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,8,4,linear,256,1,256,,../runs/contract_nli/gpt2/lr5e-05_linear_adamw_wd1e-03_256-256-1x256_memNA_bs128_iters5000_regular/run_1,5000,0.0,2.0297858715057373
contract_nli,gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,8,4,linear,256,1,256,,../runs/contract_nli/gpt2/lr5e-05_linear_adamw_wd1e-03_256-256-1x256_memNA_bs128_iters5000_regular/run_1,5000,0.0,2.030409336090088
contract_nli,gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,8,4,linear,256,1,256,,../runs/contract_nli/gpt2/lr5e-05_linear_adamw_wd1e-03_256-256-1x256_memNA_bs128_iters5000_regular/run_1,5000,0.0,2.021240472793579
contract_nli,gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,8,4,linear,256,1,256,,../runs/contract_nli/gpt2/lr5e-05_linear_adamw_wd1e-03_256-256-1x256_memNA_bs128_iters5000_regular/run_1,5000,0.0,2.0282793045043945
contract_nli,gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,8,4,linear,256,1,256,,../runs/contract_nli/gpt2/lr5e-05_linear_adamw_wd1e-03_256-256-1x256_memNA_bs128_iters5000_regular/run_1,5000,0.0,2.021960973739624
contract_nli,gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,8,4,linear,256,1,256,,../runs/contract_nli/gpt2/lr5e-05_linear_adamw_wd1e-03_256-256-1x256_memNA_bs128_iters5000_regular/run_1,5000,0.0,2.035191059112549
contract_nli,gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,32,4,linear,128,1,128,0.0,../runs/contract_nli/gpt2/lr5e-05_linear_adamw_wd1e-03_128-128-1x128_mem0_bs128_iters10000_regular_bptt-1/run_1,0,0.0,89.9530029296875
contract_nli,gpt2,,transformers:AutoModelForCausalLM,decoder,5e-05,8,4,linear,216,2,128,10.0,../runs/contract_nli/gpt2/lr5e-05_linear_adamw_wd1e-03_216-128-2x128_mem10_bs128_iters10000_regular_bptt-2/run_1,10000,0.5384615659713745,0.05309457331895828
